movieName;Metascore_w;Author;Summary;Abs_Increase
two-days-one-night;9;lasttimeisaw;"[ ""Against their usual star-eschewing policy (although Cécile De France in THE KID WITH A BIKE 2011, 8/10, is quite a bankable name, or at least in her motherland Belgium), Dardenne brothers has embraced one of the most internationally acclaimed and stylish francophone film star presently, Marion Cotillard, to their latest work, strips out all her outer glamour to Sandra, a working class cosmetics-free mother of two children, who has just recovered from a spell of depression, and has to fight for her job through a thorny vote imposed on her other 16 co-workers by their capitalistic superior, they can either vote for a 1000 euro bonus each person or keeping Sandra in the company. After a rigged vote, 13 to 3 for the bonus, Sandra and her friend Juliette (Salée) manage to a re-vote on Monday, so Sandra has a weekend to visit her colleges one by one, tries to change their mind and fix her future."", """", ""keep reading my review on my blog, google: cinema omnivore, thanks"" ]";1
inside-out-2015;9;lasttimeisaw;"[ ""Pixar’s latest offer is an absolutely worthwhile adventure for adults and teenagers alike (certainly not for toddlers though), makes further efforts to forever change the existential territory of animation feature, it is our generation’s great blessing to have Pixar continuously giving life to such master-class animations, which defy the temptation of huge profits from low-hanging fruits, as DESPICABLE ME series and its spin-off THE MINIONS (2015) unblushingly cashes in on."", """", ""keep reading my review on my blog, please google: cinema omnivore, thanks!"" ]";1
whiplash;9;lasttimeisaw;"[ ""Few might expect an indie drama about a dysfunctional mentor-student relationship about jazz-drum can be such a thrilling adrenaline drive, WHIPLASH, which not only proudly joins the elite top 8 in the upcoming Oscar BEST PICTURE nominees, but is also counted as a major contender in for a harvest (with J.K. Simmons undisputedly has BEST SUPPORTING ACTOR in his bag). It is also hard to imagine this is only young director Damien Chazelle’s second feature, after his less-seen debut GUY AND MADELINE ON A PARK BENCH (2009), WHIPLASH is such a full-grown piece of gem, with the slithering camera movement, a plethora of intensive close-ups and snappy editing, a buzzy audio surrounding and the irresistible jazzy soundtrack, it engages us with a daunting study of the pursuit of being the greatest and a spellbinding and unblemished mental orgasm in its fierce solo-drum finale."", """", ""keep reading my review on my blog, google: cinema omnivore, thanks"" ]";1
philomena;9;lasttimeisaw;"[ ""Stephen Frears’ most recent project PHILOMENA is nominated for four Oscars including BEST PICTURE and BEST LEADING ACTRESS for Dame Judi Dench (her 7th nomination, only if she could have been active on big screen from the outset of her career, she would give Meryl Streep a good run for her money of her 18 acting nominations record, now the task falls upon her fellow thespians Kate Winslet or Cate Blanchett, both garner 6 so far)."", """", ""read rest of the review on my blog, google cinema omnivore."" ]";1
the-master;9;lasttimeisaw;"[ ""Perceived as my most anticipating film of 2012, THE MASTER is Paul Thomas Anderson’s ambitious comeback after THERE WILL BE BLOOD (2007, 9/10), 5 years interval may be too long for PTA fanboys, but again the wait is unmistakably deserved.    Post-WWII, a USA naval veteran inadvertently hops on a yacht one night and is hooked on a cult named “The Cause”, lead by its eloquent yet irascible master, while being an avid follower of the master, his perennial booze-abusive, sex-driven, violent nature enables himself to be the soul needs salvation, a side-kick and a role model, it also encroaches his mental realm and life orientation, eventually challenges his loyalty with The Cause and the master. PTA’s trademark roving and tracking long-shots maintain as engaging as any directors could ever achieve, not obtrusive but impeccably tally with the storytelling; the retro-soaked palette authentically establishes a mystic aura of the inexplicable internal mechanism of how our emotion rises and falls, attended by a rhythmic score from Jonny Greenwood."", """", ""Joaquin Phoenix gives me a first impression of Michael Shannon (whose TAKE SHELTER 2011, 9/10 is among my top pick of 2011), in a far gaunter figure, he embodies his character so devotedly and destructively, it is a privilege to appreciate his hunchback stance, the unique way when he speaks (English words evade me now, help?), his exuberance, his furore, his confusion and his determination. The erosive bitterness conceals in his gawky body is compelling and he is a war victim, a damaged good seeking for a rejuvenation, the master and The Cause may or may not cure him, anyhow, he still possess his free will, if only the power of repetition works. Philip Seymour Hoffman, doesn’t need too much physique alternation though, is equally mesmerizing if not too overbearing, his mind-blowing delineation of the master’s polarized volatility is another textbook archetype of performance art. Amy Adams, whose fourth Oscar-nomination in 8 years has wrought some dissent here, accomplishes an amazing expressionless supporting performance, her role doesn’t require any ostentatious flare-up, but each time her composure and relentlessness exudes disparate feelings from inside (blithe, haughty, disdained, confident, commanding, suspicious, disgusted, etc.), and her “milking the cow”coalition with Hoffman is simply petrifying.    Grabbing only 3 acting nominations (with faint possibility to win any of them), THE MASTER’s bumpy Oscar-road is far from triumphant compared with THERE WILL BE BLOOD, but time will testify whether it is an overlooked masterpiece or an elusive piece of self-indulgent, but no matter on which case, one cannot deny that it heralds that PTA is most probably on his way to be the Stanley Kubrick of our generation (not least suggested by the evocative nudity scenes which seemingly pay tribute to the masked orgy in EYES WIDE SHUT 1999, 8/10), and it is a tremendous blessing for all the cinephiles."" ]";1
a-separation;9;lasttimeisaw;[];1
shame;9;lasttimeisaw;[];1
the-hunger-games;10;lasttimeisaw;"[ ""A cinema viewing of this soft Sci-Fi phenomenon, Jennifer Lawrence is the only impetus for me and the aftermath is unexpectedly satisfactory, with several inevitable grudges, among which is the shakily giddying cinematography, it may intend to be stylish, however one should not stay too much nearer the screen and it is not well-manipulated."", ""The film is nerve-absorbing in its narrative particularly before the game time, the stunning sets and inhabitants tableaux of the rich capitol is better-than-expectedly glistening, but when the children-slaughtering begins, there is deficit in imagination and the SFX mainly falls flat."", ""The film has already whisked away a TWILIGHT-sega triumph in the North American market, of which the worldwide popularity may fall short, but the sensational trend is irreversible, and as myself has completely sidelined TWILIGHT-sega, THE HUNGER GAMS is on a long run to be conquering an even wider demography (a more maturer one for sure). The performances are pleasantly orchestrated, an Oscar-nominated Jennifer Lawrence does strike a memorable and convincing embodiment of our heroin, imbues her a role-model paradigm for the young generation around her age, she is invincible in nearly all her scenes, grabbing all the attention and only a polychromatic talk-show host spoofer Stanley Tucci could steal some meager thunder from her. Among others, Josh Hutcherson is controversially add some juice to the flavor, I havenâ"" ]";2
the-spirit-of-the-beehive;9;lasttimeisaw;"[ ""The melodious flute score is an overture to this phenomenally shot film (much owes to the cinematographer Luis Cuadrado, who went blind during the shooting and would committed suicide in 1980) with profound imagery of Spain under the circumstances of Francisco Franco’s ebbing ruling regime."", """", ""Running against a succinct 95 minutes, the film introduces us a rural village in 1940s, after watching the horror-classic FRANKENSTEIN (1931), a seven-year-old girl Ana inexplicably gets possessed with the spirit of the monster in the film, slowly, her elder sister Isabel, and their parents, all realize their live will eternally changed by the unstoppable pace which their country is also experiencing."", """", ""The diegetic curve doesn’t limn an overbearing quantity of hubbub to foreground the family-related crisis, instead, it quietly and singularly takes its time to observe every tiny fluctuation of its executors’ mind of state, subtle and poetic, under the background of oil-painting-alike texture and sometimes tender amber aura, the magical influence of the film’s idyllic melancholia and psychological allusions can take your breath away if you can immerse yourself into the mise en scène."", """", ""Ana Torrent (3 years before her another gripping child performance RAISE RAVENS 1976, 9/10) is the attention-grabber among the cast, such a consuming delivery of a girl’s convoluted mind orbit around her daily encounters under the minimal and drab milieu, also emotionally tangible is the sibling relationship between her and Isabel, more obliquely but equally palpable hinted is the insular stalemate of the communication with and between their parents, the whole state of the family sets off a torpor which is both depressing and unbearable."", """", ""Ana is looking for her own monster to whom she can relate her feelings, what would be more thrilling and ironical than befriending some creature with a kind heart under the protection of a spine-chilling outfit, no matter it is a ghost or a spirit, the wounded fugitive  is her salvation, but is suffocated by the cruel reality, and also creates a crevice between her and her father, the delusional imagination triggered by the poisonous mushroom is the last resort and we never know if there is a cure for her."", """", ""Victor Erice’s own career path is quite tortuous, over 40 years or so, the fact that only 3 feature films are made is a crystal clear testimony of an auteur’s abiding friction with the investors, comfortingly at least this film doesn’t fail him and will always be an incentive for aficionados to be indebted for his prowess and acknowledge his uncredited endeavor."" ]";1
gosford-park;9;lasttimeisaw;[];1
