movieName;Metascore_w;Author;Summary;Sentiment;Abs_Increase
aquamarine;3;Katherine;"[ ""Please people who like this movie, forgive me, I am only giving me opinion. I did'nt like this movie. Emma Roberts and JoJo are not that pretty. Put them together and they just look even worst. I think Emma is just here because shes the niece of Julia Roberts, and JoJo , her parents just probably pushed her into singing. I think JoJo is a better singer then an actress, and I don't think her music is that good. This movie I thought was sort of an insult to mermaids. I mean there a fantasy. Leave them that way instead of putting them in Hollywood."" ]";0.022916666666666655;
king-kong;0;Katherine;"[ ""Why did they make ANOTHER King Kong? I mean it has been made about 8 times, and everyone knows how it ends. Kong dies at the end. So it's not like you changed it so much. It ends the same. So why don't the directors of today just stop taking other peoples ideas and be original."" ]";0.027500000000000004;
napoleon-dynamite;10;Katherine;"[ ""I watched it at my cousins and it was HILARIOUS! At one point I almost choked on food, and at another point water came out my nose, and I remember I could'nt breath at one point either. I really thought this movie was funny. I love how he says ramdom things."" ]";0.39375;
v-for-vendetta;10;Katherine;"[ ""This was very good film! Unless you are a ultra conservative republican who would have great troubles understanding this film, this was very well written movie about a deeply flawed Hero adn heroine in a deeply flawed time. If,however, you are a moderate you will truly enjoy this film. It highlights the dangers of 'over-government', media manipulation, the problem of defining a terorist and many other issues very real and pertintant to today's world. I have read many review about this film harping on it 'glorifying terrorism' and for those who think it does, they have missed the points of the film altogether. The hero is a deeply flawed almost anti-hero who takes revenge on those who have destroyed his life and killed many that he has considered comrades by their circumstance being the same as his own. His revenge is mixed with his ideas of changing the world and become convoluted beggintg the question to be asked on what is justice and what is revenge and whether murder is justified. I have seen other reviewers saying it is attacking America, and yet the story is based in England about an English government. Yes, America is mentioned but it is not the focus. Very clearly, and on many occasions the storyline follows the basic premise: the people get the government they deserve either by action or inaction. The hero belives he will be able to stir the country to make choices again by removing the fear that has paralyzed them. A fantastic film that deserves discussion."" ]";0.18615384615384611;
forrest-gump;10;Katherine;"[ ""One of the greatest films Tom Hanks has done. I love the humore, the sadnest, the happinest. When it's sad, you can feel the pain that Forrest goes through. Or atleast I can. I always cry whenever someone dies. I can really feel his pain. A really great movie that everyone should see."" ]";0.4;
the-hurt-locker;10;J;"[ ""To all of you military types complaining that this movie wasn't realistic enough, it's not a documentary. It's a work of fiction. Period. The Hurt Locker isn't concerned with the nuts and bolts of making every tiny detail as 100% accurate as possible. If you want that, watch the Military Channel, or better yet go re-enlist and get shipped back over there if want an \""authentic\"" experience. This is the first war movie in ages that paints its soldiers as real, complex people instead of cartoons or psychos, and all you can do is complain? Sheesh. Luckily, for the rest of us, this film will do just fine, because the enlightened viewer will realize that The Hurt Locker isn't about the details, but the big picture. It's a document of what a war like this means and how it affects the participants on both sides. It's neither pro-war nor anti-war, but instead just shows the ways things are without pronouncing judgment on its characters or their actions. It's also a showcase for some of the most impressive action and suspense set pieces to grace the cinema in a very long time. Hard, sharp, and honest, The Hurt Locker is one of the year's very best films. THAT'S the reality."" ]";0.1689130434782609;
lost-in-translation;10;J;"[ ""Beautiful, funny, touching, great acting, great direction, great cinematography, really great soundtrack. One of the best mood pieces ever. The thing people don't understand about this movie is that you don't WATCH it, you FEEL. it. Most movies are like classical music. LiT is like jazz. Most movies must follow rules, LiT doesn't follow any rule. There's no structure and that's a compliment. Like jazz, it's free flowing and to enjoy it you must let yourself go and just enjoy the ride. If you can't do that then you're going to be disappointed. Watch it alone late at nightand it just might change your life, but only if you let it."" ]";0.3861111111111111;
american-history-x;10;J;"[ ""i thought this movie was very good,then ending of the movie had my heart racing it's an amazing movie with a good message and this movie just shows what happens to people all around the world every day that this stuff is really real and we should try to do more to become a better society and world."" ]";0.45;
district-9;10;J;"[ ""Best Sci-Fi film in years it kind of reminds me of a evolution of E.T. Is Extremely original at least for 2/3. The last third isn't a original or as funny but yet widely entertaining. This film has so many powerful undertones mostly reminiscent of the apartheid."" ]";0.253125;
batman-begins;10;ChrisM.;"[ ""One of the best comic book hero flicks ever made, and certainly the best Batman film to date. Chris Nolan did what noone from the previous films bothered to, and that is to put the focus of the story on Batman. They absolutely NAILED the character in this release. This was a brilliant combination of psychological drama (ala Memento) combined with popcorn cinema; the visceral with the visual (recall two seperate instances of Bruce dropping into the batcave, and his elders asking him, \""why do we fall?\""). It goes without saying that casting for this movie was absolutely brilliant - Christian Bale is perfect in his dual role. One element that doesn't get nearly enough attention is the musical score: it adds perfect tone to Batman Begins, tangible weight to dramatic moments... far more effective than Elfman's atypical schtick. All things said, I'm counting the days 'til it's released on DVD, and looking forward to seeing the next flim!"" ]";0.3363945578231292;
